Participant;EAR;MAR;Circularity;MOE;Y
50.0;0.3281433644000083;0.9676651481407059;0.48436038365084394;2.948909693511637;0.0
50.0;0.32565161658521885;0.9425151798199598;0.47639920975994887;2.8942438232095054;0.0
50.0;0.32976094135009487;0.9406040701207139;0.5132662651025631;2.852381686775056;0.0
50.0;0.34456243698112005;0.9365102360996782;0.5048663561044187;2.7179696205567327;0.0
50.0;0.33241350825806126;0.9515854654553448;0.4962035320884072;2.8626558241929327;0.0
50.0;0.3152934936135834;0.9315223524907331;0.4792602889847345;2.9544610699527665;0.0
50.0;0.3283980874904775;0.9324892268909123;0.4611888267693709;2.83950870121298;0.0
50.0;0.3377211377490148;0.9527788102932544;0.507242757772916;2.8211998119031967;0.0
50.0;0.33481271852386496;0.9285909657213213;0.5039029889644897;2.7734638332000303;0.0
50.0;0.34456243698112005;0.9329312354164598;0.5245953648712214;2.7075825316024766;0.0
50.0;0.28015328104774734;0.9382593805910096;0.41873319308440593;3.34909295754812;0.0
50.0;0.32565161658521885;0.9417887640487379;0.4800472416587471;2.8920131701611984;0.0
50.0;0.3184608478402377;0.9545898661686595;0.4636973891179687;2.997510911129486;0.0
50.0;0.3229915021054749;0.8994195944480445;0.49767061590853817;2.7846540499828176;0.0
50.0;0.32565161658521885;0.9217060134086792;0.4800472416587471;2.8303437368857054;0.0
50.0;0.31882660826632114;0.9389412858400856;0.48550190340451455;2.944990353677672;0.0
50.0;0.32346931300836645;0.9385823831958192;0.4942202566233986;2.901611823596827;0.0
50.0;0.3184608478402377;0.936993859272227;0.4827844658622672;2.942257629554163;0.0
50.0;0.31616498263173526;0.9457811765169704;0.47832990141460086;2.99141659725993;0.0
50.0;0.3184608478402377;0.9258716634181574;0.4827844658622672;2.907332784225455;0.0
50.0;0.3377211377490148;0.9467495931462228;0.4881677963610314;2.8033471622668213;0.0
50.0;0.33724517970524565;0.9229715581778328;0.5044939526134303;2.736796887607158;0.0
50.0;0.33031741094883993;0.9367431077753998;0.4912740273592988;2.8358877755931675;0.0
50.0;0.32539121637865226;0.936993859272227;0.5009245120891224;2.879591740982532;0.0
50.0;0.3183350963968537;0.9524913747664726;0.4838747132958739;2.992102930363184;0.0
50.0;0.32049162741880494;0.9435334193661437;0.469025779572422;2.9440189341769423;0.0
50.0;0.3233045964241237;0.9376766908602928;0.4966560593001922;2.900288771738375;0.0
50.0;0.3357265204558077;0.9397902368496384;0.5015492300014466;2.7992731571330975;0.0
50.0;0.3283980874904775;0.9869118195440792;0.4847697632059624;3.005230106806565;0.0
50.0;0.32099711566934125;0.9510014300265128;0.4652306812427128;2.962647898076874;0.0
50.0;0.32349020350164165;0.9610602806631121;0.496319143463312;2.9709100005504023;0.0
50.0;0.33323781611056347;0.9365102360996782;0.5010675667352228;2.8103360147725778;0.0
50.0;0.3157976058346715;0.9318685668153379;0.4824446601441387;2.950841138748836;0.0
50.0;0.3260256357930579;0.9537653345231406;0.4794517984154056;2.9254304870937675;0.0
50.0;0.32349020350164165;0.936993859272227;0.4744563682915321;2.896513863881111;0.0
50.0;0.3177796337364689;0.89459125089387;0.4352512636485607;2.8151308514495446;0.0
50.0;0.29995834201188;0.8550135211164931;0.4507577695915642;2.850440882496376;0.0
50.0;0.30179663595760586;0.8510585878386445;0.471977867750463;2.81997373873377;0.0
50.0;0.3125;0.8529539268857245;0.45478662772338774;2.7294525660343187;0.0
50.0;0.29196900801171394;0.8694306197523712;0.4233439037454237;2.9778181789674374;0.0
50.0;0.29183191695575444;0.8760032463821966;0.4260505377624018;3.001738999353557;0.0
50.0;0.29876885795517527;0.904357359000908;0.4208772690211881;3.0269465338204364;0.0
50.0;0.3003093012088919;0.9300312153416064;0.424125011421263;3.0969111232911395;0.0
50.0;0.29183191695575444;0.8256557674025545;0.4101626949633145;2.829216817733253;0.0
50.0;0.3074437125585629;0.8880605168321231;0.4231285060362283;2.8885304221759367;0.0
50.0;0.3071428571428572;0.8626317391447215;0.44625424628317906;2.8085684530293253;0.0
50.0;0.30311438438166294;0.83598981471874;0.4327341611890081;2.7580011302469662;0.0
50.0;0.2930057058017346;0.8922747894400227;0.4499836864884088;3.045247146292059;0.0
50.0;0.3003093012088919;0.8942335151830724;0.44686258480786784;2.977708354630859;0.0
50.0;0.28982463669191294;0.9123985953530712;0.4479339867508893;3.148105715812427;0.0
50.0;0.2989052800356764;0.8711623834003956;0.422628583559828;2.914509851737703;0.0
50.0;0.314321691728745;0.6906867797884579;0.45669840291028274;2.197388210752284;0.0
50.0;0.3479955544773011;0.8021487536304097;0.49717804994275616;2.305054600008495;0.0
50.0;0.3072814752157975;0.8843382011730884;0.44128816766085555;2.877941797669501;0.0
50.0;0.2860420191636161;0.888646649854576;0.41264029289732806;3.106699681581642;0.0
50.0;0.2858635774103095;0.8949346194773827;0.4288288990492616;3.13063534565949;0.0
50.0;0.3003093012088919;0.8848693687900222;0.40713343407451114;2.946526681751081;0.0
50.0;0.3074437125585629;0.8867207320981345;0.46318009237974583;2.8841726009577417;0.0
50.0;0.3002174307225095;0.8822732964710027;0.44477812517557613;2.9387810506129024;0.0
50.0;0.2958248813798956;0.8519241830423718;0.4354228546986296;2.8798259939073168;0.0
50.0;0.29608043762703823;0.9139322086560508;0.4165632315688388;3.0867699871725334;0.0
50.0;0.3035932558217726;0.8775593261346779;0.4309496757196037;2.8905758257352647;0.0
50.0;0.29599239269146604;0.9116151957268026;0.41473142199999863;3.0798602201815495;0.0
50.0;0.3000645004335772;0.8769790517316514;0.4427983270911323;2.922635134994188;0.0
50.0;0.314321691728745;0.8643728810603054;0.4776717494782711;2.7499625504887093;0.0
50.0;0.3188685447750533;0.8724798157148664;0.4675474342516713;2.7361739814454253;0.0
50.0;0.31863483134504333;0.8500101887719738;0.46657622898271733;2.6676624937200115;0.0
50.0;0.2998507901248329;0.8698744632483388;0.42314779192009594;2.901024415797589;0.0
50.0;0.3116368296874529;0.8620874189679245;0.4511367982001402;2.766320719641931;0.0
50.0;0.31912680600760657;0.8721557989860056;0.4652353416821046;2.732944342397916;0.0
50.0;0.3159722747945309;0.8698744632483388;0.46149066845395664;2.753008832227439;0.0
50.0;0.3145827967335235;0.8617833968842755;0.4544892235030032;2.7394485834337408;0.0
50.0;0.3041820020833893;0.8948557026831394;0.4747980301973972;2.941843030008794;0.0
50.0;0.3140978272406522;0.8643987858639498;0.47536136824351233;2.7520049834718328;0.0
50.0;0.31936088029297355;0.9074667832475194;0.468344953629891;2.841508898694894;0.0
50.0;0.32834620241624796;0.8706797005085155;0.490474138821066;2.6517124123907045;0.0
50.0;0.2998507901248329;0.8863593172210857;0.4434980735469681;2.9560012726732507;0.0
50.0;0.30990257172278524;0.8960532388205872;0.4487718720625905;2.891403042702488;0.0
50.0;0.3046972751609628;0.8678433266177751;0.453746316320594;2.848214924663565;0.0
50.0;0.3184705018369782;0.8813667653483708;0.4879714630012716;2.767498905752764;0.0
50.0;0.3330890179941552;0.8447272486883587;0.5019658359465253;2.5360405268695514;0.0
50.0;0.2889612968632891;0.9106004413308765;0.43778875145688273;3.151288602368407;0.0
